TitleBout,NumberOfRounds,BlueCurrentLoseStreak,BlueCurrentWinStreak,BlueDraws,BlueAvgSigStrLanded,BlueAvgSigStrPct,BlueAvgSubAtt,BlueAvgTDLanded,BlueAvgTDPct,BlueLongestWinStreak,BlueLosses,BlueTotalRoundsFought,BlueTotalTitleBouts,BlueWinsByDecisionMajority,BlueWinsByDecisionSplit,BlueWinsByDecisionUnanimous,BlueWinsByKO,BlueWinsBySubmission,BlueWinsByTKODoctorStoppage,BlueWins,BlueHeightCms,BlueReachCms,BlueWeightLbs,RedCurrentLoseStreak,RedCurrentWinStreak,RedDraws,RedAvgSigStrLanded,RedAvgSigStrPct,RedAvgSubAtt,RedAvgTDLanded,RedAvgTDPct,RedLongestWinStreak,RedLosses,RedTotalRoundsFought,RedTotalTitleBouts,RedWinsByDecisionMajority,RedWinsByDecisionSplit,RedWinsByDecisionUnanimous,RedWinsByKO,RedWinsBySubmission,RedWinsByTKODoctorStoppage,RedWins,RedHeightCms,RedReachCms,RedWeightLbs,RedAge,BlueAge,Season,BlueWin,Continent_Europe,Continent_North America,Continent_Oceania,Continent_Other,Continent_South America,WeightClass_Catch Weight,WeightClass_Featherweight,WeightClass_Flyweight,WeightClass_Heavyweight,WeightClass_Light Heavyweight,WeightClass_Lightweight,WeightClass_Middleweight,WeightClass_Welterweight,WeightClass_Women's Bantamweight,WeightClass_Women's Featherweight,WeightClass_Women's Flyweight,WeightClass_Women's Strawweight,Gender_MALE,RedStance_Orthodox,RedStance_Southpaw,RedStance_Switch,BlueStance_Orthodox,BlueStance_Southpaw,BlueStance_Switch,BlueStance_Switch ,BetterRank_Red,BetterRank_neither,Prob_BlueWin_Bet
0,3,1,0,0,31.6667,0.46,0.6667,1.6667,0.5,2,1,8,0,0,0,1,1,0,0,2,180.34,180.34,205,1,0,0,15.6667,0.588,1.3333,0.8333,0.145,2,3,9,0,0,0,0,1,2,0,3,190.5,190.5,185,32,34,2,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0.5962732919254659
0,3,1,0,0,39.0,0.478,0.25,2.5,0.525,3,1,9,0,0,0,2,0,1,0,3,193.04,213.36,205,1,0,0,30.7273,0.573,0.0909,0.5455,0.364,4,4,23,0,0,0,2,4,1,0,7,190.5,193.04,230,32,22,2,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0.6884445349742937
0,3,0,1,0,13.7,0.548,0.7,1.2,0.572,4,3,16,1,0,0,0,5,2,0,7,187.96,193.04,242,0,4,0,25.75,0.538,0.0,0.0,0.0,4,0,6,0,0,0,0,4,0,0,4,193.04,195.58,238,26,30,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0.2978723404255319
0,3,1,0,0,25.8,0.466,0.4,0.2,0.1,2,2,8,1,0,0,0,2,1,0,3,187.96,195.58,245,2,0,0,32.9091,0.604,0.2727,1.1818,0.476,3,4,22,0,1,0,1,4,0,1,7,193.04,208.28,240,34,36,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0.23711201861079018
0,3,1,0,0,5.25,0.555,0.125,0.0,0.0,2,4,10,0,0,0,0,3,0,0,4,187.96,190.5,205,0,2,0,20.8,0.455,0.0,1.0,0.15,2,5,15,0,0,1,1,3,0,0,5,182.88,182.88,185,28,31,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0.47826082419659344
0,3,0,0,0,19.841809878528046,0.453058650008676,0.5002019838483146,1.3205362774363478,0.32541892367217723,0,0,0,0,0,0,0,0,0,0,0,182.88,185.42,170,1,0,0,40.5,0.405,0.0,3.5,0.52,1,1,6,0,0,0,1,0,0,0,1,172.72,177.8,170,29,34,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0.221559404412416
0,3,0,1,0,22.1667,0.51,0.1667,2.5,0.48,2,2,16,1,0,0,3,1,0,0,4,182.88,187.96,205,0,3,0,27.0,0.343,0.6667,0.3333,0.333,3,0,7,0,0,1,1,0,1,0,3,187.96,195.58,205,29,39,2,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0.6040343081625252
0,3,1,0,0,8.0,0.34,1.0,1.0,1.0,0,1,1,0,0,0,0,0,0,0,0,190.5,196.0,265,1,0,0,12.0,0.25,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0,0,193.04,198.12,245,27,27,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0.3020133642628661
0,3,1,0,0,10.75,0.333,1.25,1.25,0.663,1,2,7,0,0,0,0,0,2,0,2,177.8,180.34,155,2,0,0,33.1,0.394,0.6,3.4,0.382,3,5,26,0,0,2,1,1,1,0,5,170.18,177.8,155,28,28,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0.221559404412416
0,3,0,0,0,19.841809878528046,0.453058650008676,0.5002019838483146,1.3205362774363478,0.32541892367217723,0,0,0,0,0,0,0,0,0,0,0,177.8,180.34,145,1,0,0,13.6667,0.577,0.0,0.0,0.0,2,1,5,0,0,0,1,1,0,0,2,177.8,177.8,170,31,25,2,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0.41178841103024383
0,3,0,0,0,19.841809878528046,0.453058650008676,0.5002019838483146,1.3205362774363478,0.32541892367217723,0,0,0,0,0,0,0,0,0,0,0,177.8,187.96,170,0,3,0,18.0,0.55,1.0,4.6667,0.79,3,0,9,0,0,2,0,1,0,0,3,170.18,180.34,170,27,29,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0.3492957013290931
0,3,1,0,0,6.0,0.35,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,190.5,190.5,185,1,0,0,15.0,0.42,2.0,7.0,0.46,0,1,3,0,0,0,0,0,0,0,0,175.26,182.88,205,28,28,2,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0.40372670807453415
0,3,0,3,0,28.75,0.455,0.25,2.25,0.68,3,1,6,0,0,0,0,2,1,0,3,185.42,193.04,205,0,2,0,12.75,0.338,1.75,2.75,0.58,2,1,9,0,0,0,1,0,2,0,3,172.72,180.34,170,30,28,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0.34188027156840506
0,3,0,3,0,32.8,0.622,1.8,0.4,0.3,3,1,11,0,0,0,0,3,1,0,4,182.88,190.5,170,0,2,0,19.1429,0.59,1.4286,2.8571,0.493,2,3,16,0,0,0,2,0,2,0,4,182.88,187.96,170,33,29,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0.37206273286510144
0,3,1,0,0,4.0,0.275,0.0,0.0,0.0,1,1,2,0,0,0,0,1,0,0,1,182.88,180.34,170,1,0,0,23.0,0.409,1.4444,1.3333,0.476,5,3,20,1,0,1,0,0,5,0,6,182.88,193.04,170,24,28,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0.32579626888798896
0,3,0,3,0,16.8333,0.362,1.3333,2.3333,0.54,3,2,12,0,0,0,1,0,3,0,4,172.72,190.5,155,0,3,0,29.0,0.37,1.8333,2.5,0.39,3,1,15,0,0,0,2,1,2,0,5,172.72,180.34,155,26,28,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0.2517985611510791
0,3,0,3,0,32.8333,0.5,0.9167,3.0833,0.561,8,1,34,1,0,1,6,1,3,0,11,182.88,193.04,170,0,1,0,28.0,0.668,1.2,0.2,0.2,3,1,9,0,0,0,1,2,1,0,4,187.96,195.58,170,26,32,2,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0.75128021953359
0,3,1,0,0,22.0,0.3,2.0,5.0,1.0,0,1,3,0,0,0,0,0,0,0,0,177.8,185.42,155,0,3,0,22.4444,0.477,0.5556,2.1111,0.606,3,3,20,0,0,0,2,1,3,0,6,172.72,177.8,155,30,31,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0.3373231052582269
1,5,0,3,0,7.3333,0.437,0.0,0.3333,0.167,3,0,3,0,0,0,0,3,0,0,3,187.96,203.2,265,0,1,0,10.3333,0.52,1.2667,0.8,0.351,4,4,20,3,0,0,1,2,7,0,11,190.5,200.66,264,30,35,2,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0.4098361139478595
1,5,0,4,0,36.25,0.413,0.0,0.5,0.313,4,0,10,0,0,2,1,1,0,0,4,182.88,187.96,170,0,6,0,48.2,0.577,1.0667,3.4,0.751,6,2,38,8,0,1,5,5,2,0,13,180.34,193.04,185,28,27,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0.15075375177394476
0,3,0,0,0,19.841809878528046,0.453058650008676,0.5002019838483146,1.3205362774363478,0.32541892367217723,0,0,0,0,0,0,0,0,0,0,0,180.34,185.42,170,1,0,0,45.75,0.638,1.0,3.75,0.503,3,1,12,0,0,0,3,0,0,0,3,185.42,187.96,170,24,23,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0.3309930393286123
0,3,0,0,0,19.841809878528046,0.453058650008676,0.5002019838483146,1.3205362774363478,0.32541892367217723,0,0,0,0,0,0,0,0,0,0,0,170.18,177.8,155,0,1,0,23.6154,0.491,0.8462,1.5385,0.475,6,3,28,3,0,0,1,2,6,1,10,177.8,187.96,145,33,31,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0.2421052950692507
0,3,0,3,0,17.5,0.468,3.0,0.5,0.5,3,1,7,0,1,0,0,0,2,0,3,210.82,213.36,265,0,1,0,8.0,0.22,0.0,1.0,0.5,1,0,1,1,0,0,0,1,0,0,1,182.88,182.88,263,33,22,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0.24793384286136874
0,3,0,2,0,28.1818,0.532,0.0909,0.5455,0.182,2,5,21,0,0,1,2,3,0,0,6,185.42,185.42,185,0,2,0,31.0,0.389,0.0,0.1111,0.111,3,2,15,1,0,0,2,5,0,0,7,182.88,182.88,185,38,38,2,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0.3309930393286123
0,3,0,3,0,20.0,0.329,0.2857,0.2857,0.214,3,3,13,0,0,0,0,3,1,0,4,167.64,177.8,145,0,2,0,66.5,0.525,0.0,0.0,0.0,2,0,5,1,0,0,1,0,0,1,2,172.72,175.26,155,25,31,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0.34188027156840506
0,3,0,1,0,25.0,0.36,2.0,5.0,0.71,1,1,6,0,0,0,1,0,0,0,1,172.72,180.34,155,0,1,0,30.0,0.515,0.0,0.0,0.0,1,1,4,1,0,0,0,1,0,0,1,180.34,185.42,155,28,28,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0.36546947117986284
0,3,0,1,0,13.0,0.354,1.0,4.7,0.552,3,4,24,0,0,0,4,0,2,0,6,177.8,180.34,155,4,0,0,28.8889,0.494,0.2222,2.2222,0.342,2,6,26,2,0,0,2,1,0,0,3,170.18,177.8,155,34,26,2,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0.7395518315900564
0,3,1,0,0,69.0,0.415,2.5,4.0,0.55,1,1,6,0,0,0,1,0,0,0,1,172.72,172.72,155,0,1,0,26.8333,0.427,0.1667,1.6667,0.338,2,3,14,0,0,1,1,1,0,0,3,175.26,177.8,155,28,25,2,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0.5798318840477409
0,3,1,0,0,8.0,0.29,2.0,2.0,1.0,0,1,2,0,0,0,0,0,0,0,0,187.96,189.2,185,1,0,0,29.1111,0.396,0.8889,1.8889,0.443,4,2,26,0,0,0,4,3,0,0,7,187.96,190.5,170,28,36,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0.16713090066029865
